,UK,US
1172,pedestrianises,pedestrianizes
1173,pedestrianising,pedestrianizing
1174,penalise,penalize
1175,penalised,penalized
1176,penalises,penalizes
1177,penalising,penalizing
1178,pencilled,penciled
1179,pencilling,penciling
1180,personalise,personalize
1181,personalised,personalized
1182,personalises,personalizes
1183,personalising,personalizing
1184,pharmacopoeia,pharmacopeia
1185,pharmacopoeias,pharmacopeias
1186,philosophise,philosophize
1187,philosophised,philosophized
1188,philosophises,philosophizes
1189,philosophising,philosophizing
1190,philtre,filter
1191,philtres,filters
1192,phoney,phony
1193,plagiarise,plagiarize
1194,plagiarised,plagiarized
1195,plagiarises,plagiarizes
1196,plagiarising,plagiarizing
1197,plough,plow
1198,ploughed,plowed
1199,ploughing,plowing
1200,ploughman,plowman
1201,ploughmen,plowmen
1202,ploughs,plows
1203,ploughshare,plowshare
1204,ploughshares,plowshares
1205,polarisation,polarization
1206,polarise,polarize
1207,polarised,polarized
1208,polarises,polarizes
1209,polarising,polarizing
1210,politicisation,politicization
1211,politicise,politicize
1212,politicised,politicized
1213,politicises,politicizes
1214,politicising,politicizing
1215,popularisation,popularization
1216,popularise,popularize
1217,popularised,popularized
1218,popularises,popularizes
1219,popularising,popularizing
1220,pouffe,pouf
1221,pouffes,poufs
1222,practise,practice
1223,practised,practiced
1224,practises,practices
1225,practising,practicing
1226,praesidium,presidium
1227,praesidiums,presidiums
1228,pressurisation,pressurization
1229,pressurise,pressurize
1230,pressurised,pressurized
1231,pressurises,pressurizes
1232,pressurising,pressurizing
1233,pretence,pretense
1234,pretences,pretenses
1235,primaeval,primeval
1236,prioritisation,prioritization
1237,prioritise,prioritize
1238,prioritised,prioritized
1239,prioritises,prioritizes
1240,prioritising,prioritizing
1241,privatisation,privatization
1242,privatisations,privatizations
1243,privatise,privatize
1244,privatised,privatized
1245,privatises,privatizes
1246,privatising,privatizing
1247,professionalisation,professionalization
1248,professionalise,professionalize
1249,professionalised,professionalized
1250,professionalises,professionalizes
1251,professionalising,professionalizing
1252,programme,program
1253,programmes,programs
1254,prologue,prolog
1255,prologues,prologs
1256,propagandise,propagandize
1257,propagandised,propagandized
1258,propagandises,propagandizes
1259,propagandising,propagandizing
1260,proselytise,proselytize
1261,proselytised,proselytized
1262,proselytiser,proselytizer
1263,proselytisers,proselytizers
1264,proselytises,proselytizes
1265,proselytising,proselytizing
1266,psychoanalyse,psychoanalyze
1267,psychoanalysed,psychoanalyzed
1268,psychoanalyses,psychoanalyzes
1269,psychoanalysing,psychoanalyzing
1270,publicise,publicize
1271,publicised,publicized
1272,publicises,publicizes
1273,publicising,publicizing
1274,pulverisation,pulverization
1275,pulverise,pulverize
1276,pulverised,pulverized
1277,pulverises,pulverizes
1278,pulverising,pulverizing
1279,pummelled,pummel
1280,pummelling,pummeled
1281,pyjama,pajama
1282,pyjamas,pajamas
1283,pzazz,pizzazz
1284,quarrelled,quarreled
1285,quarrelling,quarreling
1286,radicalise,radicalize
1287,radicalised,radicalized
1288,radicalises,radicalizes
1289,radicalising,radicalizing
1290,rancour,rancor
1291,randomise,randomize
1292,randomised,randomized
1293,randomises,randomizes
1294,randomising,randomizing
1295,rationalisation,rationalization
1296,rationalisations,rationalizations
1297,rationalise,rationalize
1298,rationalised,rationalized
1299,rationalises,rationalizes
1300,rationalising,rationalizing
1301,ravelled,raveled
1302,ravelling,raveling
1303,realisable,realizable
1304,realisation,realization
1305,realisations,realizations
1306,realise,realize
1307,realised,realized
1308,realises,realizes
1309,realising,realizing
1310,recognisable,recognizable
1311,recognisably,recognizably
1312,recognisance,recognizance
1313,recognise,recognize
1314,recognised,recognized
1315,recognises,recognizes
1316,recognising,recognizing
1317,reconnoitre,reconnoiter
1318,reconnoitred,reconnoitered
1319,reconnoitres,reconnoiters
1320,reconnoitring,reconnoitering
1321,refuelled,refueled
1322,refuelling,refueling
1323,regularisation,regularization
1324,regularise,regularize
1325,regularised,regularized
1326,regularises,regularizes
1327,regularising,regularizing
1328,remodelled,remodeled
1329,remodelling,remodeling
1330,remould,remold
1331,remoulded,remolded
1332,remoulding,remolding
1333,remoulds,remolds
1334,reorganisation,reorganization
1335,reorganisations,reorganizations
1336,reorganise,reorganize
1337,reorganised,reorganized
1338,reorganises,reorganizes
1339,reorganising,reorganizing
1340,revelled,reveled
1341,reveller,reveler
1342,revellers,revelers
1343,revelling,reveling
1344,revitalise,revitalize
1345,revitalised,revitalized
1346,revitalises,revitalizes
1347,revitalising,revitalizing
1348,revolutionise,revolutionize
1349,revolutionised,revolutionized
1350,revolutionises,revolutionizes
1351,revolutionising,revolutionizing
1352,rhapsodise,rhapsodize
1353,rhapsodised,rhapsodized
1354,rhapsodises,rhapsodizes
1355,rhapsodising,rhapsodizing
1356,rigour,rigor
1357,rigours,rigors
1358,ritualised,ritualized
1359,rivalled,rivaled
1360,rivalling,rivaling
1361,romanticise,romanticize
1362,romanticised,romanticized
1363,romanticises,romanticizes
1364,romanticising,romanticizing
1365,rumour,rumor
1366,rumoured,rumored
1367,rumours,rumors
1368,sabre,saber
1369,sabres,sabers
1370,saltpetre,saltpeter
1371,sanitise,sanitize
1372,sanitised,sanitized
1373,sanitises,sanitizes
1374,sanitising,sanitizing
1375,satirise,satirize
1376,satirised,satirized
1377,satirises,satirizes
1378,satirising,satirizing
1379,saviour,savior
1380,saviours,saviors
1381,savour,savor
1382,savoured,savored
1383,savouries,savories
1384,savouring,savoring
1385,savours,savors
1386,savoury,savory
1387,scandalise,scandalize
1388,scandalised,scandalized
1389,scandalises,scandalizes
1390,scandalising,scandalizing
1391,sceptic,skeptic
1392,sceptical,skeptical
1393,sceptically,skeptically
1394,scepticism,skepticism
1395,sceptics,skeptics
1396,sceptre,scepter
1397,sceptres,scepters
1398,scrutinise,scrutinize
1399,scrutinised,scrutinized
1400,scrutinises,scrutinizes
1401,scrutinising,scrutinizing
1402,secularisation,secularization
1403,secularise,secularize
1404,secularised,secularized
1405,secularises,secularizes
1406,secularising,secularizing
1407,sensationalise,sensationalize
1408,sensationalised,sensationalized
1409,sensationalises,sensationalizes
1410,sensationalising,sensationalizing
1411,sensitise,sensitize
1412,sensitised,sensitized
1413,sensitises,sensitizes
1414,sensitising,sensitizing
1415,sentimentalise,sentimentalize
1416,sentimentalised,sentimentalized
1417,sentimentalises,sentimentalizes
1418,sentimentalising,sentimentalizing
1419,sepulchre,sepulcher
1420,sepulchres,sepulchers
1421,serialisation,serialization
1422,serialisations,serializations
1423,serialise,serialize
1424,serialised,serialized
1425,serialises,serializes
1426,serialising,serializing
1427,sermonise,sermonize
1428,sermonised,sermonized
1429,sermonises,sermonizes
1430,sermonising,sermonizing
1431,sheikh,sheik
1432,shovelled,shoveled
1433,shovelling,shoveling
1434,shrivelled,shriveled
1435,shrivelling,shriveling
1436,signalise,signalize
1437,signalised,signalized
1438,signalises,signalizes
1439,signalising,signalizing
1440,signalled,signaled
1441,signalling,signaling
1442,smoulder,smolder
1443,smouldered,smoldered
1444,smouldering,smoldering
1445,smoulders,smolders
1446,snivelled,sniveled
1447,snivelling,sniveling
1448,snorkelled,snorkeled
1449,snorkelling,snorkeling
1450,snowplough,snowplow
1451,snowploughs,snowplow
1452,socialisation,socialization
1453,socialise,socialize
1454,socialised,socialized
1455,socialises,socializes
1456,socialising,socializing
1457,sodomise,sodomize
1458,sodomised,sodomized
1459,sodomises,sodomizes
1460,sodomising,sodomizing
1461,solemnise,solemnize
1462,solemnised,solemnized
1463,solemnises,solemnizes
1464,solemnising,solemnizing
1465,sombre,somber
1466,specialisation,specialization
1467,specialisations,specializations
1468,specialise,specialize
1469,specialised,specialized
1470,specialises,specializes
1471,specialising,specializing
1472,spectre,specter
1473,spectres,specters
1474,spiralled,spiraled
1475,spiralling,spiraling
1476,splendour,splendor
1477,splendours,splendors
1478,squirrelled,squirreled
1479,squirrelling,squirreling
1480,stabilisation,stabilization
1481,stabilise,stabilize
1482,stabilised,stabilized
1483,stabiliser,stabilizer
1484,stabilisers,stabilizers
1485,stabilises,stabilizes
1486,stabilising,stabilizing
1487,standardisation,standardization
1488,standardise,standardize
1489,standardised,standardized
1490,standardises,standardizes
1491,standardising,standardizing
1492,stencilled,stenciled
1493,stencilling,stenciling
1494,sterilisation,sterilization
1495,sterilisations,sterilizations
1496,sterilise,sterilize
1497,sterilised,sterilized
1498,steriliser,sterilizer
1499,sterilisers,sterilizers
1500,sterilises,sterilizes
1501,sterilising,sterilizing
1502,stigmatisation,stigmatization
1503,stigmatise,stigmatize
1504,stigmatised,stigmatized
1505,stigmatises,stigmatizes
1506,stigmatising,stigmatizing
1507,storey,story
1508,storeys,stories
1509,subsidisation,subsidization
1510,subsidise,subsidize
1511,subsidised,subsidized
1512,subsidiser,subsidizer
1513,subsidisers,subsidizers
1514,subsidises,subsidizes
1515,subsidising,subsidizing
1516,succour,succor
1517,succoured,succored
1518,succouring,succoring
1519,succours,succors
1520,sulphate,sulfate
1521,sulphates,sulfates
1522,sulphide,sulfide
1523,sulphides,sulfides
1524,sulphur,sulfur
1525,sulphurous,sulfurous
1526,summarise,summarize
1527,summarised,summarized
1528,summarises,summarizes
1529,summarising,summarizing
1530,swivelled,swiveled
1531,swivelling,swiveling
1532,symbolise,symbolize
1533,symbolised,symbolized
1534,symbolises,symbolizes
1535,symbolising,symbolizing
1536,sympathise,sympathize
1537,sympathised,sympathized
1538,sympathiser,sympathizer
1539,sympathisers,sympathizers
1540,sympathises,sympathizes
1541,sympathising,sympathizing
1542,synchronisation,synchronization
1543,synchronise,synchronize
1544,synchronised,synchronized
1545,synchronises,synchronizes
1546,synchronising,synchronizing
1547,synthesise,synthesize
1548,synthesised,synthesized
1549,synthesiser,synthesizer
1550,synthesisers,synthesizers
1551,synthesises,synthesizes
1552,synthesising,synthesizing
1553,syphon,siphon
1554,syphoned,siphoned
1555,syphoning,siphoning
1556,syphons,siphons
1557,systematisation,systematization
1558,systematise,systematize
1559,systematised,systematized
1560,systematises,systematizes
1561,systematising,systematizing
1562,tantalise,tantalize
1563,tantalised,tantalized
1564,tantalises,tantalizes
1565,tantalising,tantalizing
1566,tantalisingly,tantalizingly
1567,tasselled,tasseled
1568,technicolour,technicolor
1569,temporise,temporize
1570,temporised,temporized
1571,temporises,temporizes
1572,temporising,temporizing
1573,tenderise,tenderize
1574,tenderised,tenderized
1575,tenderises,tenderizes
1576,tenderising,tenderizing
1577,terrorise,terrorize
1578,terrorised,terrorized
1579,terrorises,terrorizes
1580,terrorising,terrorizing
1581,theatre,theater
1582,theatregoer,theatergoer
1583,theatregoers,theatergoers
1584,theatres,theaters
1585,theorise,theorize
1586,theorised,theorized
1587,theorises,theorizes
1588,theorising,theorizing
1589,tonne,ton
1590,tonnes,tons
1591,towelled,toweled
1592,towelling,toweling
1593,toxaemia,toxemia
1594,tranquillise,tranquilize
1595,tranquillised,tranquilized
1596,tranquilliser,tranquilizer
1597,tranquillisers,tranquilizers
1598,tranquillises,tranquilizes
1599,tranquillising,tranquilizing
1600,tranquillity,tranquility
1601,tranquillize,tranquilize
1602,tranquillized,tranquilized
1603,tranquillizer,tranquilizer
1604,tranquillizers,tranquilizers
1605,tranquillizes,tranquilizes
1606,tranquillizing,tranquilizing
1607,tranquilly,tranquility
1608,transistorised,transistorized
1609,traumatise,traumatize
1610,traumatised,traumatized
1611,traumatises,traumatizes
1612,traumatising,traumatizing
1613,travelled,traveled
1614,traveller,traveler
1615,travellers,travelers
1616,travelling,traveling
1617,travelogue,travelog
1618,travelogues,travelogs
1619,trialled,trialed
1620,trialling,trialing
1621,tricolour,tricolor
1622,tricolours,tricolors
1623,trivialise,trivialize
1624,trivialised,trivialized
1625,trivialises,trivializes
1626,trivialising,trivializing
1627,tumour,tumor
1628,tumours,tumors
1629,tunnelled,tunneled
1630,tunnelling,tunneling
1631,tyrannise,tyrannize
1632,tyrannised,tyrannized
1633,tyrannises,tyrannizes
1634,tyrannising,tyrannizing
1635,tyre,tire
1636,tyres,tires
1637,unauthorised,unauthorized
1638,uncivilised,uncivilized
1639,underutilised,underutilized
1640,unequalled,unequaled
1641,unfavourable,unfavorable
1642,unfavourably,unfavorably
1643,unionisation,unionization
1644,unionise,unionize
1645,unionised,unionized
1646,unionises,unionizes
1647,unionising,unionizing
1648,unorganised,unorganized
1649,unravelled,unraveled
1650,unravelling,unraveling
1651,unrecognisable,unrecognizable
1652,unrecognised,unrecognized
1653,unrivalled,unrivaled
1654,unsavoury,unsavory
1655,untrammelled,untrammeled
1656,urbanisation,urbanization
1657,urbanise,urbanize
1658,urbanised,urbanized
1659,urbanises,urbanizes
1660,urbanising,urbanizing
1661,utilisable,utilizable
1662,utilisation,utilization
1663,utilise,utilize
1664,utilised,utilized
1665,utilises,utilizes
1666,utilising,utilizing
1667,valour,valor
1668,vandalise,vandalize
1669,vandalised,vandalized
1670,vandalises,vandalizes
1671,vandalising,vandalizing
1672,vaporisation,vaporization
1673,vaporise,vaporize
1674,vaporised,vaporized
1675,vaporises,vaporizes
1676,vaporising,vaporizing
1677,vapour,vapor
1678,vapours,vapors
1679,verbalise,verbalize
1680,verbalised,verbalized
1681,verbalises,verbalizes
1682,verbalising,verbalizing
1683,victimisation,victimization
1684,victimise,victimize
1685,victimised,victimized
1686,victimises,victimizes
1687,victimising,victimizing
1688,videodisc,videodisk
1689,videodiscs,videodisks
1690,vigour,vigor
1691,visualisation,visualization
1692,visualisations,visualizations
1693,visualise,visualize
1694,visualised,visualized
1695,visualises,visualizes
1696,visualising,visualizing
1697,vocalisation,vocalization
1698,vocalisations,vocalizations
1699,vocalise,vocalize
1700,vocalised,vocalized
1701,vocalises,vocalizes
1702,vocalising,vocalizing
1703,vulcanised,vulcanized
1704,vulgarisation,vulgarization
1705,vulgarise,vulgarize
1706,vulgarised,vulgarized
1707,vulgarises,vulgarizes
1708,vulgarising,vulgarizing
1709,waggon,wagon
1710,waggons,wagons
1711,watercolour,watercolor
1712,watercolours,watercolors
1713,weaselled,weaseled
1714,weaselling,weaseling
1715,westernisation,westernization
1716,westernise,westernize
1717,westernised,westernized
1718,westernises,westernizes
1719,westernising,westernizing
1720,womanise,womanize
1721,womanised,womanized
1722,womaniser,womanizer
1723,womanisers,womanizers
1724,womanises,womanizes
1725,womanising,womanizing
1726,woollen,woolen
1727,woollens,woolens
1728,woollies,woolies
1729,woolly,wooly
1730,worshipped,worshiped
1731,worshipping,worshiping
1732,worshipper,worshiper
1733,yodelled,yodeled
1734,yodelling,yodeling
1735,yoghourt,yogurt
1736,yoghourts,yogurts
1737,yoghurt,yogurt
1738,yoghurts,yogurts
